hike_region,total_distance,elevation_gain,num_reviews,stars,hike_url,hike_id,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views,hiking,nature_trips,walking,bird_watching,trail_running,forest,no_dogs,mountain_bike,backpacking,horseback_riding,beach,fishing,partially_paved,road_biking,off_road_driving,wheelchair_friendly,stroller_friendly,paved,historic_site,rock_climbing,snowshoeing,city_walk,cave,paddle_sports,scenic_driving,surfing,cross_country_skiing,hot_springs,rails_trails,skiing,rocky,snow,muddy,bugs,overgrown,scramble,blowdown,off_trail,no_shade,private_property,closed,washed_out,old_growth,elevation_per_mile,power_rating,hike_difficulty_EASY,hike_difficulty_HARD,hike_difficulty_MODERATE,route_type_Loop,route_type_Out & Back,route_type_Point to Poin,foot_traffic_Heavy,foot_traffic_Light,foot_traffic_Moderate,foot_traffic_Unknown Foot Traffic
Mount Pilchuck State Park,4.2,1194,919,4.5,https://www.alltrails.com/trail/us/washington/heather-lake-trail,hike10,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,284.2857142857143,73.17,0,0,1,0,1,0,1,0,0,0
Alpine Lakes Wilderness,10.1,2454,747,4.8,https://www.alltrails.com/trail/us/washington/colchuck-lake-trail,hike11,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,242.97029702970298,100.0,0,1,0,0,1,0,1,0,0,0
Mount Pilchuck State Park,4.8,2125,805,4.7,https://www.alltrails.com/trail/us/washington/mount-pilchuck-trail,hike12,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,442.70833333333337,91.27,0,1,0,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,2.0,367,934,4.5,https://www.alltrails.com/trail/us/washington/franklin-falls-trail,hike13,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,183.5,73.23,1,0,0,0,1,0,1,0,0,0
Middle Fork Snoqualmie Natural Resources Conservation Area,7.8,3884,726,4.7,https://www.alltrails.com/trail/us/washington/mailbox-peak-trail-loop,hike14,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,497.94871794871796,90.59,0,1,0,1,0,0,1,0,0,0
Olympic National Park,3.1,797,500,4.6,https://www.alltrails.com/trail/us/washington/hurricane-hill-via-hurricane-ridge,hike15,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,257.09677419354836,79.03,0,0,1,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,8.4,2132,870,4.4,https://www.alltrails.com/trail/us/washington/annette-lake-trail,hike16,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,253.8095238095238,63.58,0,0,1,0,1,0,1,0,0,0
Olympic National Forest,5.3,3300,489,4.7,https://www.alltrails.com/trail/us/washington/mount-ellinor-trail,hike17,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,622.6415094339623,87.51,0,1,0,0,1,0,1,0,0,0
Beacon Rock State Park,7.2,2217,805,4.5,https://www.alltrails.com/trail/us/washington/hamilton-mountain-and-rodney-falls-trail,hike18,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,307.9166666666667,72.66,0,1,0,1,0,0,0,0,1,0
Mount Rainier National Park,5.3,1758,567,4.8,https://www.alltrails.com/trail/us/washington/skyline-trail,hike19,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,331.6981132075472,97.62,0,1,0,1,0,0,1,0,0,0
Columbia River Gorge National Scenic Area,6.0,2824,632,4.6,https://www.alltrails.com/trail/us/washington/dog-mountain-trail,hike20,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,470.6666666666667,80.6,0,1,0,1,0,0,0,0,1,0
Wild Sky Wilderness,13.0,3904,372,4.7,https://www.alltrails.com/trail/us/washington/blanca-lake-trail,hike21,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,300.3076923076923,84.86,0,1,0,0,1,0,1,0,0,0
Okanogan-Wenatchee National Forest,17.9,4671,280,4.9,https://www.alltrails.com/trail/us/washington/the-enchantments-trail,hike22,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,260.94972067039106,96.85,0,1,0,0,0,1,1,0,0,0
Discovery Park,4.4,472,703,4.4,https://www.alltrails.com/trail/us/washington/discovery-park-and-lighthouse-loop-trail,hike23,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.27272727272727,62.94,1,0,0,1,0,0,1,0,0,0
,7.9,1965,571,4.5,https://www.alltrails.com/trail/us/washington/oyster-dome-trail?p=22894993,hike24,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,248.73417721518987,71.08,0,0,1,0,1,0,1,0,0,0
Okanogan-Wenatchee National Forest,6.4,2142,320,4.9,https://www.alltrails.com/trail/us/washington/maple-pass-trail,hike25,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,334.6875,98.97,0,0,1,1,0,0,0,0,1,0
Middle Fork Snoqualmie Natural Resources Conservation Area,9.8,3992,723,4.7,https://www.alltrails.com/trail/us/washington/mailbox-peak-new-trail--2,hike26,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,407.3469387755102,90.56,0,1,0,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,8.1,3730,425,4.7,https://www.alltrails.com/trail/us/washington/granite-mountain-trail,hike27,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,460.4938271604938,86.2,0,1,0,0,1,0,0,0,1,0
Mount Baker National Forest,7.3,3369,230,4.9,https://www.alltrails.com/trail/us/washington/hidden-lake-lookout-trail,hike28,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,461.5068493150685,93.52,0,1,0,0,1,0,1,0,0,0
Fisher Creek Park,1.3,334,555,4.1,https://www.alltrails.com/trail/us/washington/snoqualmie-falls-trail,hike29,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.9230769230769,35.64,1,0,0,0,1,0,1,0,0,0
Charles L Pack Experimental Forest,5.3,646,648,4.2,https://www.alltrails.com/trail/us/washington/little-mashel-falls-trail,hike30,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,121.88679245283019,44.59,1,0,0,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,6.7,2293,501,4.5,https://www.alltrails.com/trail/us/washington/mason-lake-via-ira-spring-memorial-trail,hike31,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,342.23880597014926,70.38,0,0,1,1,0,0,1,0,0,0
Mount Saint Helens National Volcanic Monument,3.0,433,433,4.6,https://www.alltrails.com/trail/us/washington/ape-cave-trail,hike32,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,144.33333333333334,77.95,0,0,1,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,10.6,1732,338,4.6,https://www.alltrails.com/trail/us/washington/goat-lake-trail,hike33,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,163.39622641509433,75.86,0,0,1,1,0,0,1,0,0,0
Olympic National Park,3.6,2080,428,4.7,https://www.alltrails.com/trail/us/washington/mount-storm-king,hike34,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,577.7777777777777,86.27,0,1,0,0,1,0,1,0,0,0
Olympic National Park,1.6,255,302,4.5,https://www.alltrails.com/trail/us/washington/sol-duc-falls-nature-trail,hike35,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.375,67.06,1,0,0,0,1,0,0,0,1,0
Mount Baker National Forest,3.2,488,410,4.5,https://www.alltrails.com/trail/us/washington/big-four-ice-caves-trail,hike36,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,152.5,69.18,1,0,0,0,1,0,1,0,0,0
Olympic National Park,1.0,78,432,4.3,https://www.alltrails.com/trail/us/washington/hoh-rain-forest-hall-of-moss,hike37,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,52.65,1,0,0,1,0,0,1,0,0,0
Beacon Rock State Park,1.1,577,535,4.4,https://www.alltrails.com/trail/us/washington/beacon-rock-trail,hike38,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.5454545454545,61.97,0,0,1,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,3.7,1000,322,4.5,https://www.alltrails.com/trail/us/washington/bridal-veil-falls-trail,hike39,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.27027027027026,67.53,0,0,1,0,1,0,0,0,1,0
Olympic National Park,1.7,298,300,4.4,https://www.alltrails.com/trail/us/washington/marymere-falls-trail,hike40,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.29411764705884,59.28,1,0,0,0,1,0,0,0,1,0
Liberty Lake Regional Park,8.5,1371,624,4.5,https://www.alltrails.com/trail/us/washington/liberty-lake-loop,hike41,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,161.2941176470588,71.53,0,0,1,1,0,0,0,0,1,0
Mount Rainier National Park,4.3,2004,246,4.6,https://www.alltrails.com/trail/us/washington/comet-and-christine-falls,hike42,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,466.046511627907,72.77,0,0,1,0,1,0,0,0,1,0
Mount Rainier National Park,8.4,4606,284,4.8,https://www.alltrails.com/trail/us/washington/camp-muir-route-via-skyline-trail,hike43,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,548.3333333333333,89.46,0,1,0,0,1,0,1,0,0,0
Mount Saint Helens National Volcanic Monument,8.2,4583,326,4.8,https://www.alltrails.com/trail/us/washington/mount-saint-helens-summit-via-ptarmigan-trail,hike44,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,558.9024390243903,91.34,0,1,0,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,8.5,2680,353,4.3,https://www.alltrails.com/trail/us/washington/melakwa-lake-via-denny-creek-trail,hike45,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,315.29411764705884,52.06,0,1,0,0,1,0,1,0,0,0
Columbia River Gorge National Scenic Area,7.5,1587,606,4.2,https://www.alltrails.com/trail/us/washington/cape-horn-loop-trail,hike46,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,211.6,44.54,0,0,1,1,0,0,1,0,0,0
Mount Rainier National Park,9.4,2562,204,4.8,https://www.alltrails.com/trail/us/washington/burroughs-mountain-loop-trail,hike47,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,272.55319148936167,84.49,0,0,1,1,0,0,1,0,0,0
Olympic National Forest,6.6,1610,478,4.4,https://www.alltrails.com/trail/us/washington/lower-lena-lake-trail--2,hike48,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,243.93939393939397,61.51,0,0,1,0,1,0,0,0,1,0
Mount Rainier National Park,6.9,2086,151,4.6,https://www.alltrails.com/trail/us/washington/spray-park-trail,hike49,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,302.3188405797101,67.29,0,0,1,0,1,0,1,0,0,0
Olallie State Park,8.3,3280,429,4.3,https://www.alltrails.com/trail/us/washington/mount-washington,hike50,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,395.18072289156623,52.63,0,1,0,0,1,0,1,0,0,0
Coal Creek Park,5.1,567,407,4.1,https://www.alltrails.com/trail/us/washington/coal-creek-park-trail,hike51,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.1764705882353,35.83,1,0,0,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,5.9,1213,372,4.2,https://www.alltrails.com/trail/us/washington/talapus-and-olallie-lakes-trail,hike52,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,205.59322033898303,44.06,0,0,1,0,1,0,1,0,0,0
Glacier View Wilderness,3.1,1318,323,4.7,https://www.alltrails.com/trail/us/washington/high-rock-lookout-trail,hike53,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,425.1612903225806,83.33,0,0,1,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,14.1,3205,281,4.7,https://www.alltrails.com/trail/us/washington/kendall-katwalk-trail--3,hike54,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,227.3049645390071,81.71,0,1,0,0,1,0,1,0,0,0
Olympic National Park,32.8,5114,208,4.5,https://www.alltrails.com/trail/us/washington/hoh-river-trail,hike55,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,155.91463414634148,64.05,0,0,1,0,1,0,1,0,0,0
Gifford Pinchot National Forest,5.9,1013,209,4.6,https://www.alltrails.com/trail/us/washington/lewis-river-falls-trail?p=23018063,hike56,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.6949152542373,71.02,0,0,1,0,1,0,1,0,0,0
Mount Rainier National Park,3.3,636,243,4.7,https://www.alltrails.com/trail/us/washington/naches-peak-loop-trail,hike57,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,192.72727272727275,79.92,1,0,0,1,0,0,1,0,0,0
,1.2,219,347,4.7,https://www.alltrails.com/trail/us/washington/cape-flattery-trail,hike58,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,182.5,84.12,1,0,0,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,14.6,1000,144,4.6,https://www.alltrails.com/trail/us/washington/gothic-basin-trail--2?u=m,hike59,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,68.4931506849315,66.72,0,1,0,0,1,0,0,1,0,0
Mount Baker Snoqualmie National Forest,14.3,4160,552,4.5,https://www.alltrails.com/trail/us/washington/snow-lake-gem-lake-upper-wildcat-lake,hike60,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.9090909090909,70.91,0,1,0,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,5.7,1443,208,4.5,https://www.alltrails.com/trail/us/washington/summit-lake-trail--3,hike61,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,253.1578947368421,64.05,0,0,1,0,1,0,1,0,0,0
Gifford Pinchot National Forest,6.8,1624,422,4.3,https://www.alltrails.com/trail/us/washington/coyote-wall-loop-trail,hike62,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,238.82352941176472,52.58,0,0,1,1,0,0,0,0,1,0
Okanogan-Wenatchee National Forest,8.8,2893,192,4.7,https://www.alltrails.com/trail/us/washington/lake-ingalls,hike63,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,328.75,76.8,0,1,0,0,1,0,0,0,1,0
Mount Baker Snoqualmie National Forest,1.9,866,333,4.4,https://www.alltrails.com/trail/us/washington/heybrook-lookout-trail,hike64,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,455.7894736842105,59.83,0,0,1,0,1,0,0,1,0,0
Mount Baker Snoqualmie National Forest,4.3,387,265,4.4,https://www.alltrails.com/trail/us/washington/barclay-lake-trail,hike65,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90.0,58.58,1,0,0,0,1,0,0,0,1,0
